Source,Target,Weight,Type
300002,412586,0.1857708,Undirected
300002,412597,0.1778656,Undirected
300002,412598,0.01581028,Undirected
300005,300011,0.8458498,Undirected
300005,300018,0.8695652,Undirected
300005,300019,0.8577075,Undirected
300005,300021,0.3241107,Undirected
300005,300023,0.3438735,Undirected
300005,300025,0.6403162,Undirected
300005,300027,0.2094862,Undirected
300005,300030,0.1857708,Undirected
300005,300038,0.8616601,Undirected
300005,300041,0.1778656,Undirected
300005,300043,0.8695652,Undirected
300005,300047,0.3675889,Undirected
300005,300048,0.2490119,Undirected
300005,300051,0.8656126,Undirected
300005,300052,0.3794466,Undirected
300005,300055,0.1897233,Undirected
300005,300058,0.8774704,Undirected
300005,300060,0.01581028,Undirected
300005,300063,0.8893281,Undirected
300005,300064,0.08695652,Undirected
300005,300065,0.8616601,Undirected
300005,300066,0.8458498,Undirected
300005,300071,0.3754941,Undirected
300005,300072,0.256917,Undirected
300005,300073,0.8498024,Undirected
300005,300075,0.6205534,Undirected
300005,300076,0.8063241,Undirected
300005,300078,0.8656126,Undirected
300005,300080,0.8577075,Undirected
300005,300081,0.8498024,Undirected
300005,300082,0.8063241,Undirected
300005,300083,0.2055336,Undirected
300005,300084,0.8458498,Undirected
300005,300087,0.8616601,Undirected
300005,300088,0.1818182,Undirected
300005,300089,0.2252964,Undirected
300005,300093,0.8814229,Undirected
300005,300100,0.8774704,Undirected
300005,400013,0.8577075,Undirected
300005,400034,0.3003953,Undirected
300005,400040,0.256917,Undirected
300005,400050,0.8616601,Undirected
300005,400054,0.3043478,Undirected
300005,400064,0.8656126,Undirected
300005,400134,0.3794466,Undirected
300005,400194,0.3399209,Undirected
300005,400222,0.3517787,Undirected
300005,400253,0.4071146,Undirected
300005,400272,0.8498024,Undirected
300005,400284,0.2490119,Undirected
300005,400325,0.3478261,Undirected
300005,400357,0.8339921,Undirected
300005,400408,0.2687747,Undirected
300005,400412,0.8498024,Undirected
300005,400413,0.8814229,Undirected
300005,400418,0.2134387,Undirected
300005,400432,0.3596838,Undirected
300005,400546,0.284585,Undirected
300005,400576,0.201581,Undirected
300005,402675,0.2648221,Undirected
300005,412194,0.8498024,Undirected
300005,412200,0.8735178,Undirected
300005,412205,0.8853755,Undirected
300005,412218,0.2885376,Undirected
300005,412223,0.8577075,Undirected
300005,412242,0.8656126,Undirected
300005,412243,0.8300395,Undirected
300005,412244,0.9090909,Undirected
300005,412246,0.8498024,Undirected
300005,412247,0.8379447,Undirected
300005,412248,0.3596838,Undirected
300005,412251,0.2134387,Undirected
300005,412281,0.8695652,Undirected
300005,412320,0.312253,Undirected
300005,412321,0.8656126,Undirected
300005,412322,0.1422925,Undirected
300005,412323,0.9051383,Undirected
300005,412324,0.8853755,Undirected
300005,412325,0.8774704,Undirected
300005,412326,0.8695652,Undirected
300005,412330,0.8814229,Undirected
300005,412378,0.8656126,Undirected
300005,412390,0.8695652,Undirected
300005,412391,0.743083,Undirected
300005,412471,0.1818182,Undirected
300005,412490,0.8537549,Undirected
300005,412491,0.2450593,Undirected
300005,412492,0.201581,Undirected
300005,412493,0.3873518,Undirected
300005,412494,0.3359684,Undirected
300005,412495,0.1581028,Undirected
300005,412496,0.1976285,Undirected
300005,412507,0.8537549,Undirected
300005,412542,0.8498024,Undirected
300005,412545,0.8458498,Undirected
300005,412554,0.8853755,Undirected
300005,412556,0.2648221,Undirected
